FIELD,Fri_M1,Fri_M2,Fri_M3,Fri_M4,Sat_M1,Sat_M2,Sat_M3,Fri_W1,Fri_W2,Fri_W3,Fri_W4,Sat_W1,Sat_W2,Sat_W3,Fri_X1,Fri_X2,Fri_X3,Fri_X4,Sat_X1,Sat_X2,Sat_X3
F1,,,,,,,,,,,,,,,,,,,,,
F2,Truck Stop v Bravo,Madison v Sub Zero,Sub Zero v High Five,Machine v Chain,,,,,,,,,,,,,,,,,
F3,,,Sockeye v Temper,Sockeye v Dig,,,,Brute Squad v Heist,Brute Squad v Schwa,,,,,,,,,,,,
F4,,,,,,,,Nightlock v Schwa,Nightlock v Heist,Heist v Schwa,Phoenix v Traffic,,,,,,,,,,
F5,,,,,,,,Scandal v Wildfire,Fury v Phoenix,Fury v Traffic,Fury v 6ixers,,,,,,,,,,
F6,,Sockeye v Doublewide,,Pony v Truck Stop,,,,,,6ixers v Phoenix,,,,,Mixtape v Mishief,,,,,,
F7,Madison v High Five,,,,,,,,Scandal v Nemesis,,Riot v Ozone,,,,,,Amp v Blackbird,,,,
F8,,,,,,,,Riot v Rival,,Riot v Pop,Rival v Pop,,,,,BFG v Cocktails,,,,,
F9,,,,,,,,Ozone v Pop,,Ozone v Rival,,,,,,shame. v XIST,,Polar Bears v XIST,,,
F10,,,,,,,,,,,,,,,Space Heater v Jughandle,Drag'n Thrust v Polar Bears,Drag'n Thrust v XIST,Drag'n Thrust v shame.,,,
F11,,,,,,,,,,,,,,,Snake Country v Cocktails,Snake Country v Slow White,Mixtape v Jughandle,Slow White v Cocktails,,,
F12,,,,,,,,,,,,,,,Amp v No Touching!,Amp v Toro,Space Heater v Mischief,Mischief v Jug Handle,,,
F13,,,,,,,,,,,,,,,Blackbird v Toro,Blackbird v No Touching!,No Touching v Toro,BFG v Snake Country,,,
F14,,,,,,,,,,,,,,,,,,,,,
F15,Revolver v Sub Zero,Revolver v High Five,Revolver v Madison,Ring v Furious,,,,,,,,,,,,,,,,,
F16,Furious v Chain,Furious v Machine,Dig v Doublewide,Doublewide v Temper,,,,,,,,,,,,,,,,,
F17,Pony v Rhino,Ring v Chain,Truck Stop v Rhino,Rhino v Bravo,,,,,,,,,,,,,,,,,
F18,,,Pony v Bravo,,,,,Molly Brown v Nemesis,Molly Brown v Wildfire,,Namesis v Wildfire,,,,,,,,,,
F19,Ring v Machine,,,,,,,,6ixers v Traffic,Brute Squad v Nightlock,Molly Brown v Scandal,,,,,,,,,,
F20,,Dig v Temper,,,,,,,,,,,,,BFG v Slow White,,shame. v Polar Bears,Mixtape v Space Heater,,,
Stadium,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,1115,130,345,,,,,,,,,,
